accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.725719690322876,0.7905789613723755,0.5502988696098328,0.7554479241371155,0.0,0.5395680069923401
0.7647296190261841,0.8371655344963074,0.49515455961227417,0.7481840252876282,0.0,0.5435665249824524
0.7668818831443787,0.8453465104103088,0.48369714617729187,0.7530266046524048,0.0,0.5348652005195618
0.7736077308654785,0.8509299755096436,0.47373947501182556,0.7602905631065369,0.0,0.5191242694854736
0.7793920040130615,0.8564804196357727,0.4668847322463989,0.7639225125312805,0.0,0.5057781338691711
0.7762981057167053,0.8563885688781738,0.46608424186706543,0.7736077308654785,0.0,0.49919766187667847
0.7843691110610962,0.8628734946250916,0.4565402865409851,0.7663438320159912,0.0,0.4956972301006317
0.7881355881690979,0.8660867214202881,0.4533211588859558,0.7627118825912476,0.0,0.4934147000312805
0.7843691110610962,0.866509735584259,0.45194077491760254,0.7723971009254456,0.0,0.47649139165878296
0.7858487963676453,0.866386353969574,0.4521656334400177,0.7723971009254456,0.0,0.4808776080608368
0.789749801158905,0.8730425238609314,0.4425661861896515,0.7711864113807678,0.0,0.4694361686706543
0.7937853336334229,0.874152660369873,0.43960580229759216,0.7784503698348999,0.0,0.4633183777332306
0.7971482276916504,0.8756721019744873,0.4377420246601105,0.7893462181091309,0.0,0.4595061242580414
0.7959375977516174,0.8797961473464966,0.4309532642364502,0.8099273443222046,0.0,0.44047948718070984
0.7937853336334229,0.8759773969650269,0.43643835186958313,0.7929782271385193,0.0,0.44561874866485596
0.7971482276916504,0.8798806071281433,0.4305426776409149,0.7941888570785522,0.0,0.45053380727767944
0.8054882884025574,0.8841466903686523,0.4243396818637848,0.7953994870185852,0.0,0.4399859607219696
0.7966101765632629,0.8799431920051575,0.4297577440738678,0.8256658315658569,0.0,0.41894352436065674
0.7972827553749084,0.8826711773872375,0.42338526248931885,0.8171913027763367,0.0,0.43061134219169617
0.798089861869812,0.884285032749176,0.42399662733078003,0.7893462181091309,0.0,0.43665599822998047
0.8029325008392334,0.883368968963623,0.42466798424720764,0.8087167143821716,0.0,0.4167923331260681
0.8025289177894592,0.8860402703285217,0.4207688271999359,0.8256658315658569,0.0,0.404746413230896
0.8056228160858154,0.8875118494033813,0.4175662398338318,0.8196125626564026,0.0,0.4021221697330475
0.8032014966011047,0.8878469467163086,0.41628557443618774,0.8111380338668823,0.0,0.40504714846611023
0.8115415573120117,0.890692412853241,0.41343432664871216,0.8159806132316589,0.0,0.4134301543235779
0.8061608672142029,0.8903307914733887,0.41328999400138855,0.8220338821411133,0.0,0.39738234877586365
0.8099273443222046,0.8940643668174744,0.4087003767490387,0.8111380338668823,0.0,0.3996211886405945
0.8088512420654297,0.8911736607551575,0.4130491018295288,0.8317191004753113,0.0,0.3791344165802002
0.8081786632537842,0.8940271735191345,0.40706169605255127,0.8365617394447327,0.0,0.3883998990058899
0.8096583485603333,0.8937361836433411,0.4067595303058624,0.86077481508255,0.0,0.363198459148407
